mapAnnotation	mapAnnotation_Definition	mapAnnotationHierarchy	mapAnnotationHierarchy_Definition
Architecture	Educational content covering architectural design principles, building analysis, and structural theory	Architecture	Content focused on building design, architectural history, and structural analysis
Arts	Educational content covering creative disciplines including literature, visual arts, performing arts, media studies, and art history	Arts & Culture	Content exploring creative fields, cultural analysis, and artistic traditions
Music (Educational)	Educational content covering music theory, musicology, composition techniques, and musical analysis	Arts & Culture	Content exploring creative fields, cultural analysis, and artistic traditions
Business	Educational content covering business management, entrepreneurship, marketing, and business operations	Business & Economics	Content about commerce, management, economic systems, and financial markets
Economics	Educational content analyzing economic theory, market systems, and economic data analysis	Business & Economics	Content about commerce, management, economic systems, and financial markets
Finance	Educational content covering financial markets, investment strategies, and financial analysis	Business & Economics	Content about commerce, management, economic systems, and financial markets
Computer Science	Educational content covering computing theory, algorithms, programming, and software development	Computer & Data Science	Content about computing, programming, data analysis, and digital technology
Data Science	Educational content covering data analysis, statistics, machine learning, and data visualization	Computer & Data Science	Content about computing, programming, data analysis, and digital technology
Engineering	Educational content covering traditional engineering disciplines including mechanical, civil, electrical, and aerospace engineering	Engineering	Content about engineering design, technical problem-solving, and applied sciences
Environmental Sciences	Educational content covering environmental systems, ecology, and environmental policy	Environmental Sciences	Content about environmental systems, conservation, and sustainability
Philosophy	Educational content exploring fundamental questions about existence, knowledge, ethics, and reasoning	Humanities	Content exploring human thought, values, ethics, and philosophical inquiry
Religion	Educational content providing scholarly study of religious beliefs, practices, and institutions	Humanities	Content exploring human thought, values, ethics, and philosophical inquiry
Languages	Educational content focused on language learning, linguistics, and language teaching methodologies	Languages	Content about language learning, linguistics, and communication skills
Biology	Educational content covering all life sciences including botany, zoology, genetics, ecology, and molecular biology	Life Sciences	Content about living organisms, biological processes, and life systems
Mathematics	Educational content covering all mathematical disciplines including algebra, calculus, geometry, and statistics	Mathematics	Content about mathematical concepts, problem-solving, and quantitative analysis
Medicine	Educational content covering all medical specialties, healthcare practices, and clinical medicine	Medical Sciences	Content about healthcare, medical practice, and human health
Public Health	Educational content focused on population health, disease prevention, and community healthcare	Medical Sciences	Content about healthcare, medical practice, and human health
Chemistry	Educational content covering all chemical sciences including organic, inorganic, analytical, and physical chemistry	Physical Sciences	Content about matter, chemical reactions, and physical phenomena
Physics	Educational content covering all physical sciences including mechanics, thermodynamics, quantum physics, and astronomy	Physical Sciences	Content about matter, chemical reactions, and physical phenomena
History	Educational content exploring past events, historical analysis, and archaeological studies	Social Sciences	Content about human behavior, society, politics, and social systems
Law	Educational content examining legal systems, jurisprudence, and legal theory	Social Sciences	Content about human behavior, society, politics, and social systems
Political Science	Educational content analyzing political systems, government structures, and political theory	Social Sciences	Content about human behavior, society, politics, and social systems
Psychology	Educational content studying human behavior, mental processes, and psychological theories	Social Sciences	Content about human behavior, society, politics, and social systems
Social Sciences	Educational content examining human society, social relationships, anthropology, and sociology	Social Sciences	Content about human behavior, society, politics, and social systems
Teaching	Educational content covering pedagogical methods, instructional design, and educational theory	Teacher Training	Content about teaching methods, education theory, and instructor development
Comedy	Content designed to entertain through humor including stand-up, sketch comedy, improv, and parody	Comedy	Content designed to entertain through humor and comedic performance
Competition	Content featuring competitive challenges, contests, and competitive activities	Competition	Content featuring contests, challenges, and competitive activities
Food	Content focused on culinary experiences, cooking instruction, food culture, and food-related entertainment	Food & Cooking	Content about cooking, food preparation, and culinary experiences
Gaming	Content focused on video games including esports, gameplay videos, and game-related entertainment	Gaming	Content about video games, gaming culture, and interactive entertainment
Movies, Theatre & Drama	Content related to films, theatrical productions, and dramatic performances including clips, reviews, and trailers	Movies, TV & Drama	Content about films, television, theatrical productions, and dramatic arts
Music (Entertainment)	Content featuring musical performances, music videos, and music-related entertainment	Music & Performance	Content featuring musical performances and entertainment
Stories/Anecdotes/Celebrity Content	Content featuring personal stories, celebrity interviews, social commentary, and anecdotal discussions from talk shows and celebrity-focused programming	Quizzes, Celebrities & Late Night	Content featuring celebrity culture, entertainment personalities, and light entertainment
Sports	Content featuring athletic activities, competitions, and sports-related entertainment	Sports Entertainment	Content about athletic activities, sports competitions, and physical recreation
Travel/Daily-life	Personal video content documenting daily life experiences, travel adventures, and personal narratives	Video journals (Eg: Vlogs)	Personal video content documenting experiences, thoughts, and daily life
DIY & Crafts	Instructional content focused on do-it-yourself projects, crafting, and hands-on creation	DIY & Crafts	Content about making, building, and creating things by hand
Finance Tutorials	Instructional content focused on personal financial management, budgeting, and financial literacy	Finance Tutorials	Content teaching personal finance skills and money management
Design/Editing Tutorials	Instructional content focused on creative software, graphic design, and video editing skills	Tech & Creative Tutorials	Content teaching technical and creative software skills
Tech Tutorials	Instructional content focused on technology skills, programming, and digital tools	Tech & Creative Tutorials	Content teaching technical and creative software skills
Alternative Health	Content exploring alternative and complementary therapies and wellness practices	Alternative Health	Content about non-conventional health and wellness approaches
Beauty & Fashion	Content focused on appearance, style, cosmetics, and fashion trends	Beauty & Fashion	Content about personal appearance, style, and fashion
Fitness	Content focused on physical exercise, workout routines, and fitness instruction	Fitness & Nutrition	Content about physical health, exercise, and body wellness
Nutrition	Content focused on diet, nutrition principles, and healthy eating habits	Fitness & Nutrition	Content about physical health, exercise, and body wellness
Home & Garden	Content focused on home improvement, interior design, gardening, and domestic lifestyle	Home & Garden	Content about domestic life, home improvement, and household management
Lifestyle	Content focused on personal lifestyle choices, daily routines, and lifestyle documentation	Lifestyle	Content about personal choices, daily living, and lifestyle approaches
Mental Health	Content focused on mental wellness, psychological health, and mental health awareness	Mental Health	Content about psychological wellness and mental health support
Personal Development	Content focused on self-improvement, career advancement, and motivational guidance	Personal Development	Content about self-improvement, skill development, and personal growth
Relationships	Content focused on romantic relationships, dating, and relationship dynamics	Relationships & Dating	Content about romantic relationships, dating, and interpersonal connections
News	Journalistic content reporting on current events and newsworthy developments across all topics	News	Content providing journalistic reporting and current events coverage
Conspiracy	Content promoting alternative theories and unsubstantiated claims about events or organizations	Opinion & Commentary	Content expressing personal viewpoints, analysis, and subjective commentary
Religion & Spirituality	Content focused on personal spiritual experiences, religious practices, and faith-based content	Religion & Spirituality	Content about faith, spiritual practices, and religious experiences
Product Reviews	Content evaluating and assessing consumer products across various categories	Product Reviews	Content evaluating and assessing consumer products and services