title	url	duration	Video	content1	content_map1	content_map_hierarchy1	content_map_hierarchy_upper1	format1	format_map1	format_map_hierarchy1	content2	content_map2	content_map_hierarchy2	content_map_hierarchy_upper2	format2	format_map2	format_map_hierarchy2	channel
What Do Women Actually Want From Men? - World’s #1 Female Dating Coach Matthew Hussey	https://www.youtube.com/watch?v=efmd7LgrXB0	853.0	Chris_Williamson_efmd7LgrXB0	entertainment.reality.dating	Relationships	Relationships & Dating	Lifestyle & Wellbeing	conversation.podcast	Conversations	Simultaneous Presenters	edu.social.psychology	Psychology	Social Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Chris_Williamson
Unboxing The 8K Action Camera	https://www.youtube.com/watch?v=QptbdEci-m8	551.0	Unbox_Therapy_QptbdEci-m8	misc.unboxing	Product Reviews	Product Reviews	Reviews	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	misc.productreview	Product Reviews	Product Reviews	Reviews	talkinghead.frameregular	Talking Head - Center	Single Presenter	Unbox_Therapy
What causes heartburn? - Rusha Modi	https://www.youtube.com/watch?v=jP-9AD0wMOk	295.0	TED_Ed_jP-9AD0wMOk	edu.medicine.gastroenterology	Medicine	Medical Sciences	Education	crafts.cutouts	Paper Cutouts	Animations	news.health	News	News	News/Commentary	animated.info	Infographics	Infographics/Slidedeck	TED_Ed
Top 15 Canva Tips for Productivity!	https://www.youtube.com/watch?v=2XqSMu9KVY0	505.0	Jeff_Su_2XqSMu9KVY0	skills.digital.graphicdesign	Design/Editing Tutorials	Tech & Creative Tutorials	How-To & Tutorials	screencast	Screencast	Screencast	vlog.daily	Personal Anecdotes	Personal Anecdotes/Vlogs	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	Jeff_Su
Types of hormones | Endocrine system physiology | NCLEX-RN | Khan Academy	https://www.youtube.com/watch?v=KSclrkk_Ako	602.0	Khan_Academy_KSclrkk_Ako	edu.medicine.endocrinology	Medicine	Medical Sciences	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	edu.medicine.physiology	Medicine	Medical Sciences	Education	animated.graphics	Motion Graphics	Animations	Khan_Academy
NYC Business Owner Accused of Money Laundering or Tax Evasion? Financial Crimes Defense Attorney	https://www.youtube.com/watch?v=k5pru2ttygo	629.0	AskTheLawyers_k5pru2ttygo	edu.social.law	Law	Social Sciences	Education	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	edu.business.economics	Economics	Business & Economics	Education	conversation.formal	Conversations	Simultaneous Presenters	AskTheLawyers
What is inside a hair dryer? (2 of 2) | Electrical engineering | Khan Academy	https://www.youtube.com/watch?v=Vq7EOmvU1eQ	704.0	Khan_Academy_Vq7EOmvU1eQ	edu.stem.engineering.electrical	Engineering	Engineering	Education	practicaldemonstration.engineering	Physical Demo	Physical Demo	edu.stem.engineering.electronics	Engineering	Engineering	Education	writing.hand	Writing Hand (No head visible)	Instructional	Khan_Academy
How to Fix your Laptop	https://www.youtube.com/watch?v=d_H054zwCOY	369.0	ElectroBOOM_d_H054zwCOY	skills.diy.homeimprovement	DIY & Crafts	DIY & Crafts	How-To & Tutorials	practicaldemonstration.engineering	Physical Demo	Physical Demo	edu.stem.engineering.electronics	Engineering	Engineering	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	ElectroBOOM
A Simple Proof of Conservation of Energy	https://www.youtube.com/watch?v=PplaBASQ_3M	238.0	minutephysics_PplaBASQ_3M	edu.stem.physics.mechanics	Physics/Astronomy	Physical Sciences	Education	writing.hand	Writing Hand (No head visible)	Instructional	edu.stem.physics.thermodynamics	Physics/Astronomy	Physical Sciences	Education	board.whiteboard	Whiteboard	Instructional	minutephysics
Lesson 8 - Cofunction And Even Odd Identities (Trig & PreCalculus)	https://www.youtube.com/watch?v=4r7ccS3Wz_s	241.0	Math_and_Science_4r7ccS3Wz_s	edu.stem.math.trigonometry	Mathematics	Mathematics	Education	board.whiteboard	Whiteboard	Instructional	edu.stem.math.algebra	Mathematics	Mathematics	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Math_and_Science
Make a SUPER HIGH VOLTAGE Capacitor	https://www.youtube.com/watch?v=xjW-isgOijs	678.0	ElectroBOOM_xjW-isgOijs	edu.stem.physics.electromagnetism	Physics/Astronomy	Physical Sciences	Education	practicaldemonstration.engineering	Physical Demo	Physical Demo	edu.stem.engineering.electrical	Engineering	Engineering	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	ElectroBOOM
How are these fires burning underground? - Emma Bryce	https://www.youtube.com/watch?v=brdrOzVgZX0	269.0	TED_Ed_brdrOzVgZX0	edu.stem.environment	Environmental Sciences	Environmental Sciences	Education	crafts.cutouts	Paper Cutouts	Animations	edu.stem.biology.ecology	Biology	Life Sciences	Education	animated.graphics	Motion Graphics	Animations	TED_Ed
Architect Breaks Down 5 Haunted Houses From Scary Films | Architectural Digest	https://www.youtube.com/watch?v=GGrKSsMO4LY	825.0	Architectural_Digest_GGrKSsMO4LY	edu.arts.architecture	Architecture	Architecture	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	entertainment.movies.clips	Movies, Theatre & Drama	Movies, TV & Drama	Entertainment	animated.graphics	Motion Graphics	Animations	Architectural_Digest
Overtime: Bob Woodward, Sarah Silverman, Katty Kay, Cornell Belcher, Bret Stephens	https://www.youtube.com/watch?v=SP1ttCxEcME	489.0	Real_Time_Bill_Maher_SP1ttCxEcME	edu.social.politics	Political Science	Social Sciences	Education	paneldiscussion.inperson	Panel Discussion - In Person	Simultaneous Presenters	news.domestic	News	News	News/Commentary	conversation.formal	Conversations	Simultaneous Presenters	Real_Time_Bill_Maher
Multiband Compression - Part 6 of 7 - Composing and Producing Electronic Music	https://www.youtube.com/watch?v=SbSFf71JJZ0	336.0	Berklee_SbSFf71JJZ0	edu.arts.music	Music (Educational)	Arts & Literature	Education	screencast	Screencast	Screencast	edu.education.pedagogy.teachingtools	Teaching	Teacher Training	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Berklee
Anti-Lag - How Hyundai Eliminates Turbo Lag	https://www.youtube.com/watch?v=ccMg-KzMgU8	355.0	Engineering_Explained_ccMg-KzMgU8	edu.stem.engineering.automotive	Engineering	Engineering	Education	board.whiteboard	Whiteboard	Instructional	edu.stem.physics.mechanics	Physics/Astronomy	Physical Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Engineering_Explained
Can I Get Workers’ Comp for a Job-Related Car Accident? | Georgia Work Injury Lawyer	https://www.youtube.com/watch?v=nzuhyckxsuI	204.0	AskTheLawyers_nzuhyckxsuI	edu.social.law	Law	Social Sciences	Education	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	news.politics	News	News	News/Commentary	conversation.formal	Conversations	Simultaneous Presenters	AskTheLawyers
Nurse & Food Entrepreneur | Our budget & planning for our future | Part 3 | Khan Academy	https://www.youtube.com/watch?v=GPK0JS2htsU	381.0	Khan_Academy_GPK0JS2htsU	skills.financial.personalfinance	Finance Tutorials	Finance Tutorials	How-To & Tutorials	talkinghead.frameregular	Talking Head - Center	Single Presenter	edu.business.economics	Economics	Business & Economics	Education	conversation.casual	Conversations	Simultaneous Presenters	Khan_Academy
Steve Trevino LOVES 'Strange Obsessions'	https://www.youtube.com/watch?v=PnCOsMaKaxw	188.0	Comedy_Dynamics_PnCOsMaKaxw	entertainment.comedy.standup	Comedy	Comedy	Entertainment	persononstage	Person on stage	Single Presenter	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	Comedy_Dynamics
10 Ways to Boost Your Motivation INSTANTLY	https://www.youtube.com/watch?v=extzTbx8O0Q	704.0	TopThink_extzTbx8O0Q	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.graphics	Motion Graphics	Animations	growth.careerdevelopment	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.info	Infographics	Infographics/Slidedeck	TopThink
Lec 8a | MIT 14.01SC Principles of Microeconomics	https://www.youtube.com/watch?v=aflMMnyAO0E	818.0	MIT_OpenCourseWare_aflMMnyAO0E	edu.business.economics	Economics	Business & Economics	Education	classroom	Classroom Lecture	Instructional	news.business	News	News	News/Commentary	persononstage	Person on stage	Single Presenter	MIT_OpenCourseWare
24 hours in Istanbul 🇹🇷 (& trying to speak Turkish) | Hagia Sophia, Basilica Cistern, Bosphorus	https://www.youtube.com/watch?v=TWv-dwk3XSI	462.0	Lindie_Botes_TWv-dwk3XSI	vlog.daily	Personal Anecdotes	Personal Anecdotes/Vlogs	Entertainment	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	vlog.travel	Personal Anecdotes	Personal Anecdotes/Vlogs	Entertainment	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	Lindie_Botes
Graphs and Networks	https://www.youtube.com/watch?v=h0m2tsmSPTI	751.0	MIT_OpenCourseWare_h0m2tsmSPTI	edu.stem.math.linearalgebra	Mathematics	Mathematics	Education	board.chalkboard	Chalkboard	Instructional	edu.stem.math.algebra	Mathematics	Mathematics	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	MIT_OpenCourseWare
"The ""Sex Education"" Cast Plays Who's Who"	https://www.youtube.com/watch?v=b2-aChqxIhM	385.0	BuzzFeed_Celeb_b2-aChqxIhM	entertainment.variety.celebritycontent	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	BuzzFeed_Celeb
Every German House Style Explained In 15 Minutes	https://www.youtube.com/watch?v=59s_6YfBuFY	886.0	Sahari_59s_6YfBuFY	edu.arts.architecture	Architecture	Architecture	Education	slides	Slidedeck	Infographics/Slidedeck	edu.arts.arthistory	Arts	Arts & Literature	Education	animation.powerpoint	Slidedeck	Infographics/Slidedeck	Sahari
Equity vs. debt | Stocks and bonds | Finance & Capital Markets | Khan Academy	https://www.youtube.com/watch?v=yQtUyBrRBx4	834.0	Khan_Academy_yQtUyBrRBx4	edu.business.finance	Finance	Business & Economics	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	news.business	News	News	News/Commentary	animated.info	Infographics	Infographics/Slidedeck	Khan_Academy
I'm Atoms (Scientific Cover of Jason Mraz's I'm Yours)	https://www.youtube.com/watch?v=DBjZz0iQrzI	218.0	Veritasium_DBjZz0iQrzI	entertainment.music	Music (Entertainment)	Music & Performance	Entertainment	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	edu.stem.astronomy	Physics/Astronomy	Physical Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Veritasium
Rome & The Third Century Crisis | Taking A Stab At It | Roman History | Extra History | Part 1	https://www.youtube.com/watch?v=qNDE113vs28	570.0	Extra_History_qNDE113vs28	edu.social.history	History	Social Sciences	Education	animated.cartoon	Cartoon Characters	Animations	news.business	News	News	News/Commentary	animated.info	Infographics	Infographics/Slidedeck	Extra_History
How Money Will Make You Out of Touch With Reality	https://www.youtube.com/watch?v=Nsjr5cMqCQw	615.0	Practical_Wisdom_Interesting_Ideas_Nsjr5cMqCQw	skills.financial.personalfinance	Finance Tutorials	Finance Tutorials	How-To & Tutorials	docustyle	Documentary	Documentary Style (Mixed Format)	growth.careerdevelopment	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.graphics	Motion Graphics	Animations	Practical_Wisdom_Interesting_Ideas
Nissan GT-R AWD System - How It Works	https://www.youtube.com/watch?v=vveNnKAxEb0	302.0	Engineering_Explained_vveNnKAxEb0	edu.stem.engineering.mechanical	Engineering	Engineering	Education	board.whiteboard	Whiteboard	Instructional	edu.stem.engineering.automotive	Engineering	Engineering	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Engineering_Explained
Music And Measure Theory	https://www.youtube.com/watch?v=cyW5z-M2yzw	793.0	Khan_Academy_cyW5z-M2yzw	edu.arts.music	Music (Educational)	Arts & Literature	Education	animated.info	Infographics	Infographics/Slidedeck	edu.stem.math.numbertheory	Mathematics	Mathematics	Education	animated.graphics	Motion Graphics	Animations	Khan_Academy
The Hacking Wars - How Governments Hack Each Other	https://www.youtube.com/watch?v=TNJn6aUJA6I	698.0	ColdFusion_TNJn6aUJA6I	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	docustyle	Documentary	Documentary Style (Mixed Format)	skills.digital.coding	Tech Tutorials	Tech & Creative Tutorials	How-To & Tutorials	screencast	Screencast	Screencast	ColdFusion
Opinion: Trump opponents are 'going to be living in the basement' if they don't change	https://www.youtube.com/watch?v=Skwfiuv7cSc	396.0	CNN_US_News_Skwfiuv7cSc	news.politics	News	News	News/Commentary	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	edu.social.politics	Political Science	Social Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	CNN_US_News
7 Habits to Instantly Be More Charismatic	https://www.youtube.com/watch?v=AAPBXPoRKOw	651.0	TopThink_AAPBXPoRKOw	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.graphics	Motion Graphics	Animations	wellbeing.mentalhealth	Mental Health	Mental Health	Lifestyle & Wellbeing	animated.cartoon	Cartoon Characters	Animations	TopThink
Match Finders - SNL	https://www.youtube.com/watch?v=szLej6PgQoY	342.0	Saturday_Night_Live_szLej6PgQoY	entertainment.reality.dating	Relationships	Relationships & Dating	Lifestyle & Wellbeing	skit	Skit/Parody/Sketch/Short Film	Staged Performance	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	persononstage	Person on stage	Single Presenter	Saturday_Night_Live
Alternate Interior Angles - Geometry Tutor	https://www.youtube.com/watch?v=EffwYvKM1Us	352.0	Math_and_Science_EffwYvKM1Us	edu.stem.math.geometry	Mathematics	Mathematics	Education	board.whiteboard	Whiteboard	Instructional	edu.stem.math.algebra	Mathematics	Mathematics	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Math_and_Science
10 Powerful Lessons Rich People Understand The Poor & Middle Class Don't	https://www.youtube.com/watch?v=KJMNRwnsqZk	716.0	Practical_Wisdom_Interesting_Ideas_KJMNRwnsqZk	skills.financial.personalfinance	Finance Tutorials	Finance Tutorials	How-To & Tutorials	docustyle	Documentary	Documentary Style (Mixed Format)	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.info	Infographics	Infographics/Slidedeck	Practical_Wisdom_Interesting_Ideas
Calculating the equilibrium constant from the standard cell potential edited | Khan Academy	https://www.youtube.com/watch?v=zSIJcGPIzro	579.0	Khan_Academy_zSIJcGPIzro	edu.stem.chemistry.physical	Chemistry	Physical Sciences	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	edu.arts.architecture	Architecture	Architecture	Education	animated.graphics	Motion Graphics	Animations	Khan_Academy
‘Oumuamua: Interstellar Visitor	https://www.youtube.com/watch?v=BJCO97BpYIE	352.0	Professor_Dave_Explains_BJCO97BpYIE	edu.stem.astronomy	Physics/Astronomy	Physical Sciences	Education	animated.info	Infographics	Infographics/Slidedeck	edu.arts.architecture	Architecture	Architecture	Education	animated.graphics	Motion Graphics	Animations	Professor_Dave_Explains
This Will Fix Asia’s Greatest Traffic Jam	https://www.youtube.com/watch?v=5HoEDxKEhnA	452.0	The_B1M_5HoEDxKEhnA	edu.stem.engineering.civil	Engineering	Engineering	Education	animated.graphics	Motion Graphics	Animations	edu.stem.engineering.systemsengineering	Engineering	Engineering	Education	animated.info	Infographics	Infographics/Slidedeck	The_B1M
What is FaaS (Functions as a Service)?	https://www.youtube.com/watch?v=EOIja7yFScs	652.0	IBM_Technology_EOIja7yFScs	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	board.lightboard	Glassboard	Instructional	edu.arts.architecture	Architecture	Architecture	Education	animated.graphics	Motion Graphics	Animations	IBM_Technology
Ribeye Steak With Red Wine Sauce | French Bistro Recipes	https://www.youtube.com/watch?v=yjcBx0cK7S0	440.0	French_Cooking_Academy_yjcBx0cK7S0	skills.culinary.cooking	Food	Food & Cooking	Entertainment	practicaldemonstration.cooking	Cooking	Cooking	lifestyle.food	Food	Food & Cooking	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	French_Cooking_Academy
Home Automation: A Beginner's Introduction	https://www.youtube.com/watch?v=IcIpzWeqO1c	670.0	Technology_Connections_IcIpzWeqO1c	lifestyle.home	Home & Garden	Home & Garden	Lifestyle & Wellbeing	talkinghead.framecorner	Talking Head - Corner	Single Presenter	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	screencast	Screencast	Screencast	Technology_Connections
ROA discussion 2 | Stocks and bonds | Finance & Capital Markets | Khan Academy	https://www.youtube.com/watch?v=R_5slDeVCQk	617.0	Khan_Academy_R_5slDeVCQk	edu.business.finance	Finance	Business & Economics	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	edu.business.economics	Economics	Business & Economics	Education	animated.graphics	Motion Graphics	Animations	Khan_Academy
Day 66: Language Learning in the Rain Forest.	https://www.youtube.com/watch?v=qA-FzGSgMqg	232.0	Steve_Kaufmann_qA-FzGSgMqg	language.internationallanguage	Languages	Languages	Education	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	edu.arts.architecture	Architecture	Architecture	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Steve_Kaufmann
What is MLOps?	https://www.youtube.com/watch?v=OejCJL2EC3k	415.0	IBM_Technology_OejCJL2EC3k	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	board.lightboard	Glassboard	Instructional	edu.stem.engineering.datascience	Data Science	Computer & Data Science	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	IBM_Technology
Dmitri Shostakovich: Symphony No. 5. Analysis by Gerard Schwarz (part 4) | Music | Khan Academy	https://www.youtube.com/watch?v=l9-YCHZ4XoU	530.0	Khan_Academy_l9-YCHZ4XoU	edu.arts.music	Music (Educational)	Arts & Literature	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	edu.arts.performing	Arts	Arts & Literature	Education	docustyle	Documentary	Documentary Style (Mixed Format)	Khan_Academy
Unboxing Sphero indi	https://www.youtube.com/watch?v=vRuuwdXrcAg	418.0	LEARN_vRuuwdXrcAg	misc.unboxing	Product Reviews	Product Reviews	Reviews	practicaldemonstration.science	Physical Demo	Physical Demo	edu.education.pedagogy.teachingtools	Teaching	Teacher Training	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	LEARN
Simple Pagination with Firebase and Angular 4	https://www.youtube.com/watch?v=TIGj7KzXtxg	260.0	Fireship_TIGj7KzXtxg	skills.digital.coding	Tech Tutorials	Tech & Creative Tutorials	How-To & Tutorials	screencast	Screencast	Screencast	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	keystrokes	Screencast	Screencast	Fireship
Giant Mystery Unboxing...	https://www.youtube.com/watch?v=18BqKMkoLcU	358.0	Unbox_Therapy_18BqKMkoLcU	misc.unboxing	Product Reviews	Product Reviews	Reviews	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	edu.stem.engineering.automotive	Engineering	Engineering	Education	practicaldemonstration.engineering	Physical Demo	Physical Demo	Unbox_Therapy
'RIDICULOUS': Media uses bridge collapse to call out racism of Francis Scott Key	https://www.youtube.com/watch?v=xRfNWmkYGdI	279.0	Fox_US_News_xRfNWmkYGdI	news.domestic	News	News	News/Commentary	paneldiscussion.inperson	Panel Discussion - In Person	Simultaneous Presenters	news.politics	News	News	News/Commentary	talkinghead.frameregular	Talking Head - Center	Single Presenter	Fox_US_News
Irish People Watch Cake Boss For The First Time	https://www.youtube.com/watch?v=2OjjQ6KRQ7Q	233.0	Facts_2OjjQ6KRQ7Q	entertainment.reality.living	Lifestyle	Lifestyle	Lifestyle & Wellbeing	screencast	Screencast	Screencast	skills.culinary.baking	Food	Food & Cooking	Entertainment	conversation.casual	Conversations	Simultaneous Presenters	Facts
Buddhist School Education	https://www.youtube.com/watch?v=5AuM7DSrPig	253.0	Sprouts_5AuM7DSrPig	edu.humanities.religion	Religion	Humanities	Education	animated.comic	Comic Book Style	Animations	religious.spirituality	Religion & Spirituality	Religion & Spirituality	Religion & Spirituality	animated.info	Infographics	Infographics/Slidedeck	Sprouts
How to Train Your Dragon 2 (2014) - The Wingsuit Scene (1/10) | Movieclips	https://www.youtube.com/watch?v=TiJBxtM5iKw	185.0	RottenTomatoes_TiJBxtM5iKw	entertainment.movies.clips	Movies, Theatre & Drama	Movies, TV & Drama	Entertainment	animated.cartoon	Cartoon Characters	Animations	entertainment.sports.adventure	Sports & Adventure	Sports & Adventure	Entertainment	animated.graphics	Motion Graphics	Animations	RottenTomatoes
What's The Best Workout For Cardiovascular Exercise? - Mark Sisson	https://www.youtube.com/watch?v=7fuVlDkTnoo	554.0	Max_Lugavere_7fuVlDkTnoo	wellbeing.fitness	Fitness	Fitness & Nutrition	Lifestyle & Wellbeing	conversation.podcast	Conversations	Simultaneous Presenters	entertainment.sports.individual	Sports & Adventure	Sports & Adventure	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	Max_Lugavere
LEARN Secondary 4 Science: Lithosphere contamination and soil depletion	https://www.youtube.com/watch?v=motq12X-j-U	311.0	LEARN_motq12X-j-U	edu.stem.environment	Environmental Sciences	Environmental Sciences	Education	slides	Slidedeck	Infographics/Slidedeck	edu.stem.biology.ecology	Biology	Life Sciences	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	LEARN
Who Am I? - A Thought Experiment That Changes How You Think About Yourself	https://www.youtube.com/watch?v=HAND5-dO4kY	695.0	Pursuit_of_Wonder_HAND5-dO4kY	edu.humanities.philosophy	Philosophy	Humanities	Education	animated.graphics	Motion Graphics	Animations	edu.humanities.ethics	Philosophy	Humanities	Education	animated.info	Infographics	Infographics/Slidedeck	Pursuit_of_Wonder
10 Habits You Should Quit Right Now	https://www.youtube.com/watch?v=iPOK1329nlc	622.0	TopThink_iPOK1329nlc	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	animation.powerpoint	Slidedeck	Infographics/Slidedeck	growth.careerdevelopment	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.info	Infographics	Infographics/Slidedeck	TopThink
S. Epatha Merkerson, Miranda Rae Mayo and Jason Beghe Weigh In on the NYC vs. Chicago Pizza Debate	https://www.youtube.com/watch?v=mGoTs9dHSdo	453.0	Jimmy_Fallon_mGoTs9dHSdo	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	paneldiscussion.inperson	Panel Discussion - In Person	Simultaneous Presenters	entertainment.variety.celebritycontent	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	conversation.formal	Conversations	Simultaneous Presenters	Jimmy_Fallon
A Chat in Several Languages with the Language Tsar Conor	https://www.youtube.com/watch?v=W-dpqJbVgy0	553.0	Steve_Kaufmann_W-dpqJbVgy0	language.internationallanguage	Languages	Languages	Education	conversation.formal	Conversations	Simultaneous Presenters	edu.arts.languages	Languages	Languages	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Steve_Kaufmann
An Architect's Home That Explores Art and Architecture (House Tour)	https://www.youtube.com/watch?v=KeUKlpiGm1g	390.0	The_Local_Project_KeUKlpiGm1g	edu.arts.architecture	Architecture	Architecture	Education	docustyle	Documentary	Documentary Style (Mixed Format)	edu.arts.visual	Arts	Arts & Literature	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	The_Local_Project
Nick Offerman Was Intimidated by Megan Mullally’s Success When They First Met	https://www.youtube.com/watch?v=WZoIL9_ueOM	523.0	Seth_Meyers_WZoIL9_ueOM	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	entertainment.variety.latenight	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	conversation.formal	Conversations	Simultaneous Presenters	Seth_Meyers
The Biggest Eruptions That Changed Earth Forever	https://www.youtube.com/watch?v=fXb02MQ78yQ	599.0	Kurzgesagt_fXb02MQ78yQ	edu.stem.environment	Environmental Sciences	Environmental Sciences	Education	animated.info	Infographics	Infographics/Slidedeck	edu.social.history	History	Social Sciences	Education	animated.cartoon	Cartoon Characters	Animations	Kurzgesagt
